ID	Nom_de_la_classe
1	brace
137	brace
2	ledgerLine
138	legerLine
3	repeatDot
139	repeatDot
4	segno
140	segno
5	coda
141	coda
6	clefG
142	clefG
7	clefCAlto
143	clefC
8	clefCTenor
9	clefF
144	clefF
10	clefUnpitchedPercussion
11	clef8
145	numeral8
12	clef15
13	timeSig0
146	numeral0
14	timeSig1
147	numeral1
15	timeSig2
148	numeral2
16	timeSig3
149	numeral3
17	timeSig4
150	numeral4
18	timeSig5
151	numeral5
19	timeSig6
152	numeral6
20	timeSig7
153	numeral7
21	timeSig8
22	timeSig9
154	numeral9
23	timeSigCommon
155	timeSigCommon
24	timeSigCutCommon
156	timeSigCutCommon
25	noteheadBlackOnLine
157	noteheadFullSmall
26	noteheadBlackOnLineSmall
27	noteheadBlackInSpace
28	noteheadBlackInSpaceSmall
29	noteheadHalfOnLine
158	noteheadHalfSmall
30	noteheadHalfOnLineSmall
31	noteheadHalfInSpace
32	noteheadHalfInSpaceSmall
33	noteheadWholeOnLine
159	noteheadWhole
34	noteheadWholeOnLineSmall
35	noteheadWholeInSpace
36	noteheadWholeInSpaceSmall
37	noteheadDoubleWholeOnLine
38	noteheadDoubleWholeOnLineSmall
39	noteheadDoubleWholeInSpace
40	noteheadDoubleWholeInSpaceSmall
41	augmentationDot
160	augmentationDot
42	stem
161	stem
43	tremolo1
162	tremoloMark
44	tremolo2
45	tremolo3
46	tremolo4
47	tremolo5
48	flag8thUp
163	flag8thUp
49	flag8thUpSmall
50	flag16thUp
164	flag16thUp
51	flag32ndUp
165	flag32ndUp
52	flag64thUp
166	flag64thUp
53	flag128thUp
54	flag8thDown
167	flag8thDown
55	flag8thDownSmall
56	flag16thDown
168	flag16thDown
57	flag32ndDown
169	flag32ndDown
58	flag64thDown
170	flag64thDown
59	flag128thDown
60	accidentalFlat
171	accidentalFlat
61	accidentalFlatSmall
62	accidentalNatural
172	accidentalNatural
63	accidentalNaturalSmall
64	accidentalSharp
173	accidentalSharp
65	accidentalSharpSmall
66	accidentalDoubleSharp
174	accidentalDoubleSharp
67	accidentalDoubleFlat
175	accidentalDoubleFlat
68	keyFlat
69	keyNatural
70	keySharp
71	articAccentAbove
176	articulationAccent
72	articAccentBelow
73	articStaccatoAbove
177	articulationStaccato
74	articStaccatoBelow
75	articTenutoAbove
178	articulationTenuto
76	articTenutoBelow
77	articStaccatissimoAbove
78	articStaccatissimoBelow
79	articMarcatoAbove
179	articulationMarcatoAbove
80	articMarcatoBelow
180	articulationMarcatoBelow
81	fermataAbove
181	fermataAbove
82	fermataBelow
182	fermataBelow
83	caesura
84	restDoubleWhole
85	restWhole
183	restWhole
86	restHalf
184	restHalf
87	restQuarter
185	restQuarter
88	rest8th
186	rest8th
89	rest16th
187	rest16th
90	rest32nd
188	rest32nd
91	rest64th
189	rest64th
92	rest128th
93	restHNr
190	numeral
94	dynamicP
191	dynamicLetterP
95	dynamicM
192	dynamicLetterM
96	dynamicF
193	dynamicLetterF
97	dynamicS
194	dynamicLetterS
98	dynamicZ
195	dynamicLetterZ
99	dynamicR
196	dynamicLetterR
100	graceNoteAcciaccaturaStemUp
101	graceNoteAppoggiaturaStemUp
102	graceNoteAcciaccaturaStemDown
197	graceNoteAcciaccatura
103	graceNoteAppoggiaturaStemDown
104	ornamentTrill
198	ornamentTrill
105	ornamentTurn
106	ornamentTurnInverted
107	ornamentMordent
108	stringsDownBow
109	stringsUpBow
110	arpeggiato
199	arpeggio
111	keyboardPedalPed
112	keyboardPedalUp
113	tuplet3
114	tuplet6
115	fingering0
116	fingering1
117	fingering2
118	fingering3
119	fingering4
120	fingering5
121	slur
200	slur
122	beam
201	beam
123	tie
202	tie
124	restHBar
203	restHBar
125	dynamicCrescendoHairpin
204	dynamicCrescendoHairpin
126	dynamicDiminuendoHairpin
205	dynamicDiminuendoHairpin
127	tuplet1
206	tuple
128	tuplet2
129	tuplet4
130	tuplet5
131	tuplet7
132	tuplet8
133	tuplet9
134	tupletBracket
207	tupleBracket
135	staff
208	staff
136	ottavaBracket
